# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031098.6659 1.3563 0.6305 1.6380 0.6132 0.5962 -0.3311 -0.3986
1305031098.6758 1.3543 0.6306 1.6360 0.6129 0.5966 -0.3316 -0.3980
1305031098.6870 1.3525 0.6306 1.6339 0.6136 0.5971 -0.3312 -0.3966
1305031098.6959 1.3502 0.6306 1.6318 0.6139 0.5972 -0.3312 -0.3959
1305031098.7058 1.3482 0.6308 1.6298 0.6148 0.5978 -0.3301 -0.3945
1305031098.7152 1.3462 0.6308 1.6275 0.6148 0.5976 -0.3307 -0.3943
1305031098.7258 1.3439 0.6308 1.6253 0.6151 0.5977 -0.3309 -0.3935
1305031098.7351 1.3417 0.6308 1.6231 0.6155 0.5985 -0.3302 -0.3923
1305031098.7459 1.3397 0.6307 1.6210 0.6152 0.5993 -0.3300 -0.3918
1305031098.7559 1.3375 0.6306 1.6187 0.6148 0.5993 -0.3306 -0.3919
1305031098.7658 1.3349 0.6304 1.6164 0.6143 0.5998 -0.3311 -0.3915
1305031098.7758 1.3328 0.6303 1.6138 0.6141 0.6010 -0.3305 -0.3905
1305031098.7860 1.3302 0.6299 1.6112 0.6139 0.6018 -0.3303 -0.3896
1305031098.7959 1.3278 0.6296 1.6087 0.6139 0.6023 -0.3298 -0.3894
1305031098.8058 1.3258 0.6295 1.6062 0.6154 0.6029 -0.3274 -0.3882
1305031098.8158 1.3228 0.6291 1.6034 0.6142 0.6036 -0.3283 -0.3880
1305031098.8258 1.3208 0.6289 1.6008 0.6149 0.6046 -0.3265 -0.3869
1305031098.8353 1.3179 0.6286 1.5979 0.6145 0.6051 -0.3269 -0.3865
1305031098.8458 1.3150 0.6284 1.5950 0.6140 0.6064 -0.3270 -0.3852
1305031098.8558 1.3118 0.6278 1.5920 0.6132 0.6072 -0.3282 -0.3842








